Município,População_residente
DOM EXPEDITO LOPES,6940
DOMINGOS MOURAO,4352
DOM INOCENCIO,9574
ELESBAO VELOSO,14550
ELISEU MARTINS,4943
ESPERANTINA-PI,39953
FARTURA DO PIAUI,5330
FLORES DO PIAUI,4461
FLORESTA DO PIAUI,2561
FLORIANO,60111
FRANCINOPOLIS,5345
FRANCISCO AYRES,4300
FRANCISCO MACEDO,3216
FRANCISCO SANTOS,9423
FRONTEIRAS,11690
GEMINIANO,5477
GILBUES,10698
GUADALUPE,10496
GUARIBAS,4573
HUGO NAPOLEAO,3880
ILHA GRANDE,9487
INHUMA,15330
IPIRANGA DO PIAUI,9863
ISAIAS COELHO,8582
ITAINOPOLIS,11571
ITAUEIRA,11037
JACOBINA DO PIAUI,5718
JAICOS,19233
JARDIM DO MULATO,4522
JATOBA DO PIAUI,4885
JERUMENHA,4443
JOAO COSTA,3003
JOAQUIM PIRES,14396
JOCA MARQUES,5488
JOSE DE FREITAS,39457
JUAZEIRO DO PIAUI,5491
JULIO BORGES,5653
JUREMA-PI,4790
LAGOINHA DO PIAUI,2870
LAGOA ALEGRE,8610
LAGOA DO BARRO DO PIAUI,4658
LAGOA DE SAO FRANCISCO,6795
LAGOA DO PIAUI,4086
LAGOA DO SITIO,5219
LANDRI SALES,5272
LUIS CORREIA,30558
LUZILANDIA,25521
MADEIRO,8372
MANOEL EMIDIO,5352
MARCOLANDIA,8590
MARCOS PARENTE,4546
MASSAPE DO PIAUI,6456
MATIAS OLIMPIO,10979
MIGUEL ALVES,33901
MIGUEL LEAO,1239
MILTON BRANDAO,6603
MONSENHOR GIL,10563
MONSENHOR HIPOLITO,7785
MONTE ALEGRE DO PIAUI,10618
MORRO CABECA NO TEMPO,4527
MORRO DO CHAPEU DO PIAUI,6825
MURICI DOS PORTELAS,9258
NAZARE DO PIAUI,7307
NAZARIA,8632
NOSSA SENHORA DE NAZARE,4911
NOSSA SENHORA DOS REMEDIOS,8751
NOVO ORIENTE DO PIAUI,6548
NOVO SANTO ANTONIO-PI,3014
OEIRAS,37138
OLHO D'AGUA DO PIAUI,2477
PADRE MARCOS,6879
PAES LANDIM,4124
PAJEU DO PIAUI,3416
PALMEIRA DO PIAUI,5029
PALMEIRAIS,14633
