Per�odo:Nov/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"211280 VIANA";293;293;135746,70;102219,30;-;-;33527,40;-;-;463,30;463,30;1070;3,7;8;2,73
"211285 VILA NOVA DOS MARTIRIOS";51;51;18564,53;15427,57;-;-;3136,96;-;-;364,01;364,01;113;2,2;-;-
"211290 VITORIA DO MEARIM";49;49;20113,16;15200,79;-;-;4912,37;-;-;410,47;410,47;111;2,3;-;-
"211300 VITORINO FREIRE";102;102;39029,35;30374,06;-;-;8655,29;-;-;382,64;382,64;214;2,1;1;0,98
"211400 ZE DOCA";293;293;131235,13;101159,55;-;-;30075,58;-;-;447,90;447,90;970;3,3;6;2,05
"220010 AGRICOLANDIA";9;9;1835,28;1646,34;-;-;188,94;-;-;203,92;203,92;9;1,0;-;-
"220020 AGUA BRANCA";67;67;30210,90;24110,48;-;-;6100,42;-;-;450,91;450,91;217;3,2;5;7,46
"220030 ALTO LONGA";15;15;5931,47;5133,75;-;-;797,72;-;-;395,43;395,43;81;5,4;-;-
"220040 ALTOS";101;101;45365,62;38843,57;-;-;6522,05;-;-;449,16;449,16;292;2,9;2;1,98
"220050 AMARANTE";80;80;27641,52;21791,03;-;-;5850,49;-;-;345,52;345,52;196;2,5;-;-
"220100 ARRAIAL";4;4;1375,02;1184,03;-;-;190,99;-;-;343,75;343,75;22;5,5;-;-
