Per�odo:Jun/2022
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110140 MONTE NEGRO";20;20;10015,76;8784,00;-;-;1231,76;-;-;500,79;500,79;91;4,5;-;-
"110143 NOVA UNIAO";12;12;3635,24;3055,18;-;-;580,06;-;-;302,94;302,94;38;3,2;-;-
"110145 PARECIS";36;36;8815,11;7544,43;-;-;1270,68;-;-;244,86;244,86;36;1,0;-;-
"110146 PIMENTEIRAS DO OESTE";9;9;4320,39;3796,95;-;-;523,44;-;-;480,04;480,04;43;4,8;-;-
"110149 SAO FRANCISCO DO GUAPORE";68;68;33465,97;24289,76;-;-;9176,21;-;-;492,15;492,15;192;2,8;-;-
"110150 SERINGUEIRAS";104;104;42146,20;31488,00;-;-;10658,20;-;-;405,25;405,25;167;1,6;-;-
"110155 TEIXEIROPOLIS";2;2;801,10;692,07;-;-;109,03;-;-;400,55;400,55;5;2,5;-;-
"110160 THEOBROMA";6;6;2155,05;1874,71;-;-;280,34;-;-;359,17;359,17;26;4,3;-;-
"110170 URUPA";100;100;56806,94;44696,70;-;-;12110,24;-;-;568,07;568,07;208;2,1;1;1,00
"110175 VALE DO ANARI";14;14;4528,30;3900,59;-;-;627,71;-;-;323,45;323,45;53;3,8;-;-
"110180 VALE DO PARAISO";12;12;5951,73;5251,99;-;-;699,74;-;-;495,98;495,98;47;3,9;-;-
"120001 ACRELANDIA";10;10;2966,08;2656,66;-;-;309,42;-;-;296,61;296,61;13;1,3;-;-
"120005 ASSIS BRASIL";10;10;3242,78;2284,04;-;-;958,74;-;-;324,28;324,28;22;2,2;-;-
"120010 BRASILEIA";288;288;107064,22;79689,81;-;-;27374,41;-;-;371,75;371,75;897;3,1;1;0,35
"120020 CRUZEIRO DO SUL";709;709;345525,64;254999,97;-;-;90525,67;-;-;487,34;487,34;2986;4,2;10;1,41
"120030 FEIJO";100;100;39378,36;28743,63;-;-;10634,73;-;-;393,78;393,78;231;2,3;-;-
"120033 MANCIO LIMA";35;35;13089,83;11425,23;-;-;1664,60;-;-;374,00;374,00;90;2,6;-;-
"120034 MANOEL URBANO";39;39;12843,70;10312,82;-;-;2530,88;-;-;329,33;329,33;145;3,7;-;-
"120035 MARECHAL THAUMATURGO";50;50;8089,12;5936,76;-;-;2152,36;-;-;161,78;161,78;134;2,7;-;-
"120038 PLACIDO DE CASTRO";8;8;3488,24;2832,30;-;-;655,94;-;-;436,03;436,03;30;3,8;-;-
"120039 PORTO WALTER";41;41;14324,27;11180,41;-;-;3143,86;-;-;349,37;349,37;78;1,9;1;2,44
"120040 RIO BRANCO";1922;1922;2232105,63;1722985,09;-;-;509120,54;-;-;1161,35;1161,35;11693;6,1;90;4,68
"120042 RODRIGUES ALVES";5;5;2078,47;1789,34;-;-;289,13;-;-;415,69;415,69;12;2,4;-;-
"120045 SENADOR GUIOMARD";37;37;17622,92;15287,27;-;-;2335,65;-;-;476,30;476,30;176;4,8;1;2,70
"120050 SENA MADUREIRA";175;175;64735,21;50088,58;-;-;14646,63;-;-;369,92;369,92;524;3,0;-;-
"120060 TARAUACA";204;204;88693,33;66218,90;-;-;22474,43;-;-;434,77;434,77;503;2,5;2;0,98
"120070 XAPURI";56;56;22814,57;19913,12;-;-;2901,45;-;-;407,40;407,40;191;3,4;-;-
"130002 ALVARAES";12;12;5092,08;3661,29;-;-;1430,79;-;-;424,34;424,34;32;2,7;-;-
"130006 AMATURA";57;57;23361,52;16726,34;-;-;6635,18;-;-;409,85;409,85;147;2,6;-;-
"130008 ANAMA";47;47;17784,37;13304,30;-;-;4480,07;-;-;378,39;378,39;137;2,9;-;-
"130010 ANORI";42;42;16358,11;12846,27;-;-;3511,84;-;-;389,48;389,48;115;2,7;-;-
"130014 APUI";92;92;42337,49;32950,59;-;-;9386,90;-;-;460,19;460,19;378;4,1;-;-
"130020 ATALAIA DO NORTE";35;35;11720,18;8865,81;-;-;2854,37;-;-;334,86;334,86;68;1,9;1;2,86
"130030 AUTAZES";91;91;45855,78;32337,64;-;-;13518,14;-;-;503,91;503,91;228;2,5;-;-
"130040 BARCELOS";48;48;13922,98;10966,79;-;-;2956,19;-;-;290,06;290,06;189;3,9;2;4,17
"130050 BARREIRINHA";97;97;43133,22;30491,73;-;-;12641,49;-;-;444,67;444,67;243;2,5;-;-
"130060 BENJAMIN CONSTANT";75;75;28862,37;20710,87;-;-;8151,50;-;-;384,83;384,83;182;2,4;1;1,33
"130063 BERURI";63;63;24291,38;17074,74;-;-;7216,64;-;-;385,58;385,58;150;2,4;-;-
"130068 BOA VISTA DO RAMOS";72;72;25724,85;20121,20;-;-;5603,65;-;-;357,29;357,29;225;3,1;-;-
"130070 BOCA DO ACRE";159;159;70744,74;51770,00;-;-;18974,74;-;-;444,94;444,94;484;3,0;1;0,63
"130080 BORBA";225;225;96413,33;74780,02;-;-;21633,31;-;-;428,50;428,50;592;2,6;-;-
"130083 CAAPIRANGA";52;52;19144,70;15179,43;-;-;3965,27;-;-;368,17;368,17;320;6,2;1;1,92
"130090 CANUTAMA";26;26;9586,21;7091,57;-;-;2494,64;-;-;368,70;368,70;59;2,3;-;-
"130100 CARAUARI";101;101;57877,45;41564,95;-;-;16312,50;-;-;573,04;573,04;288;2,9;1;0,99
"130110 CAREIRO";123;123;51973,01;38316,31;-;-;13656,70;-;-;422,54;422,54;248;2,0;-;-
"130115 CAREIRO DA VARZEA";1;1;599,42;521,07;-;-;78,35;-;-;599,42;599,42;2;2,0;-;-
"130120 COARI";456;456;237851,52;169596,10;-;-;68255,42;-;-;521,60;521,60;1434;3,1;13;2,85
"130130 CODAJAS";100;100;37299,03;27737,66;-;-;9561,37;-;-;372,99;372,99;277;2,8;2;2,00
"130140 EIRUNEPE";5;5;3339,48;2428,20;-;-;911,28;-;-;667,90;667,90;52;10,4;2;40,00
"130160 FONTE BOA";104;104;48997,71;35135,14;-;-;13862,57;-;-;471,13;471,13;222;2,1;2;1,92
"130165 GUAJARA";47;47;16973,74;14455,47;-;-;2518,27;-;-;361,14;361,14;118;2,5;-;-
"130170 HUMAITA";251;251;126920,03;91815,33;-;-;35104,70;-;-;505,66;505,66;783;3,1;3;1,20
"130180 IPIXUNA";121;121;56593,39;43852,13;-;-;12741,26;-;-;467,71;467,71;326;2,7;-;-
"130185 IRANDUBA";64;64;25924,13;22346,53;-;-;3577,60;-;-;405,06;405,06;297;4,6;1;1,56
"130190 ITACOATIARA";383;383;198959,46;137804,68;-;-;61154,78;-;-;519,48;519,48;1134;3,0;9;2,35
"130195 ITAMARATI";58;58;17801,55;14346,75;-;-;3454,80;-;-;306,92;306,92;174;3,0;-;-
"130200 ITAPIRANGA";25;25;10583,64;7593,42;-;-;2990,22;-;-;423,35;423,35;78;3,1;-;-
"130220 JURUA";28;28;13505,68;10350,46;-;-;3155,22;-;-;482,35;482,35;91;3,3;-;-
"130230 JUTAI";148;148;53508,34;39806,40;-;-;13701,94;-;-;361,54;361,54;261;1,8;-;-
"130240 LABREA";198;198;94226,26;67738,54;-;-;26487,72;-;-;475,89;475,89;632;3,2;4;2,02
"130250 MANACAPURU";493;493;257923,12;187367,47;-;-;70555,65;-;-;523,17;523,17;1077;2,2;8;1,62
"130255 MANAQUIRI";76;76;29953,84;23224,79;-;-;6729,05;-;-;394,13;394,13;260;3,4;-;-
"130260 MANAUS";8610;8610;12764751,12;10272587,88;-;-;2492163,24;-;-;1482,55;1482,55;53791;6,2;298;3,46
"130270 MANICORE";209;209;93447,89;61263,92;-;-;32183,97;-;-;447,12;447,12;367;1,8;2;0,96
"130280 MARAA";38;38;15370,49;10294,83;-;-;5075,66;-;-;404,49;404,49;98;2,6;-;-
"130290 MAUES";316;316;161606,67;115211,29;-;-;46395,38;-;-;511,41;511,41;891;2,8;2;0,63
"130300 NHAMUNDA";48;48;24281,21;15724,38;-;-;8556,83;-;-;505,86;505,86;107;2,2;-;-
