Per�odo:Set/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130010 ANORI";115;115;42465,38;34748,93;-;-;7716,45;-;-;369,26;369,26;272;2,4;-;-
"130014 APUI";98;98;43303,95;32687,65;-;-;10616,30;-;-;441,88;441,88;284;2,9;-;-
"130020 ATALAIA DO NORTE";69;69;24094,71;18643,98;-;-;5450,73;-;-;349,20;349,20;172;2,5;-;-
"130030 AUTAZES";140;140;70656,49;52268,52;-;-;18387,97;-;-;504,69;504,69;408;2,9;-;-
"130040 BARCELOS";76;76;34235,19;24631,38;-;-;9603,81;-;-;450,46;450,46;261;3,4;1;1,32
"130050 BARREIRINHA";140;140;50040,15;38927,32;-;-;11112,83;-;-;357,43;357,43;420;3,0;-;-
"130060 BENJAMIN CONSTANT";135;135;61279,60;44322,54;-;-;16957,06;-;-;453,92;453,92;359;2,7;2;1,48
"130063 BERURI";50;50;17663,04;12008,59;-;-;5654,45;-;-;353,26;353,26;125;2,5;-;-
"130068 BOA VISTA DO RAMOS";49;49;20958,96;16845,22;-;-;4113,74;-;-;427,73;427,73;138;2,8;2;4,08
"130070 BOCA DO ACRE";73;73;34415,10;25075,18;-;-;9339,92;-;-;471,44;471,44;229;3,1;2;2,74
"130080 BORBA";165;165;62640,78;48315,60;-;-;14325,18;-;-;379,64;379,64;437;2,6;2;1,21
"130083 CAAPIRANGA";33;33;14066,49;9211,00;-;-;4855,49;-;-;426,26;426,26;73;2,2;-;-
"130090 CANUTAMA";49;49;18746,07;14501,00;-;-;4245,07;-;-;382,57;382,57;138;2,8;-;-
"130100 CARAUARI";138;138;63229,92;48076,89;-;-;15153,03;-;-;458,19;458,19;357;2,6;3;2,17
"130110 CAREIRO";140;140;108119,89;68505,26;-;-;39614,63;-;-;772,28;772,28;142;1,0;-;-
"130120 COARI";364;364;189629,99;127313,65;-;-;62316,34;-;-;520,96;520,96;843;2,3;14;3,85
"130130 CODAJAS";128;128;49867,46;38644,30;-;-;11223,16;-;-;389,59;389,59;344;2,7;2;1,56
"130140 EIRUNEPE";120;120;62169,95;44040,28;-;-;18129,67;-;-;518,08;518,08;364;3,0;5;4,17
"130150 ENVIRA";90;90;31933,34;23959,69;-;-;7973,65;-;-;354,81;354,81;243;2,7;-;-
