Per�odo:Abr/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130240 LABREA";210;210;98346,76;70422,30;-;-;27924,46;-;-;468,32;468,32;737;3,5;5;2,38
"130250 MANACAPURU";523;523;284707,68;210734,92;-;-;73972,76;-;-;544,37;544,37;1451;2,8;16;3,06
"130255 MANAQUIRI";72;72;29322,71;23697,92;-;-;5624,79;-;-;407,26;407,26;250;3,5;-;-
"130260 MANAUS";9565;9565;15949219,97;12735550,52;-;-;3213669,45;-;-;1667,46;1667,46;61252;6,4;530;5,54
"130270 MANICORE";131;131;68191,10;45670,00;-;-;22521,10;-;-;520,54;520,54;317;2,4;4;3,05
"130290 MAUES";216;216;112122,32;76616,32;-;-;35506,00;-;-;519,08;519,08;624;2,9;4;1,85
"130310 NOVA OLINDA DO NORTE";125;125;55365,33;39093,00;-;-;16272,33;-;-;442,92;442,92;324;2,6;-;-
"130320 NOVO AIRAO";86;86;42842,75;32695,30;-;-;10147,45;-;-;498,17;498,17;196;2,3;-;-
"130330 NOVO ARIPUANA";140;140;60508,48;47558,86;-;-;12949,62;-;-;432,20;432,20;372;2,7;1;0,71
"130340 PARINTINS";723;723;301389,08;220359,40;-;-;81029,68;-;-;416,86;416,86;2619;3,6;11;1,52
"130350 PAUINI";91;91;41402,49;30670,23;-;-;10732,26;-;-;454,97;454,97;316;3,5;2;2,20
"130353 PRESIDENTE FIGUEIREDO";137;137;71147,23;52217,36;-;-;18929,87;-;-;519,32;519,32;410;3,0;2;1,46
"130356 RIO PRETO DA EVA";53;53;34702,44;23915,08;-;-;10787,36;-;-;654,76;654,76;96;1,8;-;-
"130360 SANTA ISABEL DO RIO NEGRO";60;60;23480,77;18228,94;-;-;5251,83;-;-;391,35;391,35;182;3,0;1;1,67
"130370 SANTO ANTONIO DO ICA";115;115;44045,68;31988,07;-;-;12057,61;-;-;383,01;383,01;338;2,9;1;0,87
"130380 SAO GABRIEL DA CACHOEIRA";93;93;46799,80;29943,14;-;-;16856,66;-;-;503,22;503,22;319;3,4;3;3,23
"130390 SAO PAULO DE OLIVENCA";152;152;136068,80;119667,60;-;-;16401,20;-;-;895,19;895,19;449;3,0;4;2,63
"130395 SAO SEBASTIAO DO UATUMA";44;44;18546,07;13942,39;-;-;4603,68;-;-;421,50;421,50;113;2,6;-;-
