Per�odo:Jul/2023
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"110015 OURO PRETO DO OESTE";307;307;192923,71;136428,95;-;-;56494,76;-;-;628,42;628,42;696;2,3;3;0,98
"110018 PIMENTA BUENO";220;220;83645,17;68454,06;-;-;15191,11;-;-;380,21;380,21;513;2,3;1;0,45
"110020 PORTO VELHO";4112;4112;7567905,76;6217151,70;-;-;1350754,06;-;-;1840,44;1840,44;31834;7,7;162;3,94
"110025 PRESIDENTE MEDICI";87;87;43309,36;33009,22;-;-;10300,14;-;-;497,81;497,81;331;3,8;1;1,15
"110026 RIO CRESPO";3;3;1289,09;1158,25;-;-;130,84;-;-;429,70;429,70;12;4,0;-;-
"110028 ROLIM DE MOURA";306;306;139311,82;97818,66;-;-;41493,16;-;-;455,27;455,27;886;2,9;5;1,63
"110029 SANTA LUZIA D'OESTE";31;31;10327,72;8782,11;-;-;1545,61;-;-;333,15;333,15;85;2,7;-;-
"110030 VILHENA";855;855;679229,24;523759,94;-;-;155469,30;-;-;794,42;794,42;3596;4,2;22;2,57
"110032 SAO MIGUEL DO GUAPORE";122;122;59938,28;47472,38;-;-;12465,90;-;-;491,30;491,30;305;2,5;1;0,82
"110033 NOVA MAMORE";64;64;31340,52;23375,32;-;-;7965,20;-;-;489,70;489,70;230;3,6;-;-
"110034 ALVORADA D'OESTE";62;62;29212,87;22078,51;-;-;7134,36;-;-;471,18;471,18;175;2,8;-;-
"110037 ALTO ALEGRE DOS PARECIS";49;49;17979,61;15637,85;-;-;2341,76;-;-;366,93;366,93;151;3,1;-;-
"110040 ALTO PARAISO";25;25;10317,87;9144,59;-;-;1173,28;-;-;412,71;412,71;81;3,2;-;-
"110045 BURITIS";90;90;42732,08;32610,49;-;-;10121,59;-;-;474,80;474,80;273;3,0;-;-
"110050 NOVO HORIZONTE DO OESTE";34;34;12392,72;10791,90;-;-;1600,82;-;-;364,49;364,49;96;2,8;-;-
"110060 CACAULANDIA";4;4;1525,05;1331,29;-;-;193,76;-;-;381,26;381,26;9;2,3;-;-
"110070 CAMPO NOVO DE RONDONIA";13;13;5614,35;4861,01;-;-;753,34;-;-;431,87;431,87;28;2,2;-;-
"110080 CANDEIAS DO JAMARI";3;3;701,62;604,78;-;-;96,84;-;-;233,87;233,87;6;2,0;-;-
"110094 CUJUBIM";36;36;8964,30;7462,52;-;-;1501,78;-;-;249,01;249,01;-;-;-;-
"110100 GOVERNADOR JORGE TEIXEIRA";8;8;2012,58;1730,48;-;-;282,10;-;-;251,57;251,57;20;2,5;-;-
"110120 MINISTRO ANDREAZZA";21;21;10560,47;9319,83;-;-;1240,64;-;-;502,88;502,88;112;5,3;-;-
"110130 MIRANTE DA SERRA";38;38;20674,31;18387,91;-;-;2286,40;-;-;544,06;544,06;113;3,0;-;-
