Per�odo:Mai/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"130050 BARREIRINHA";153;153;60019,64;43818,37;-;-;16201,27;-;-;392,29;392,29;435;2,8;3;1,96
"130063 BERURI";70;70;24500,78;17151,76;-;-;7349,02;-;-;350,01;350,01;200;2,9;-;-
"130068 BOA VISTA DO RAMOS";86;86;34031,01;26006,03;-;-;8024,98;-;-;395,71;395,71;254;3,0;-;-
"130070 BOCA DO ACRE";175;175;105501,76;71753,68;5929,38;-;24872,32;2946,38;-;602,87;602,87;477;2,7;1;0,57
"130080 BORBA";149;149;62618,23;48797,89;-;-;13820,34;-;-;420,26;420,26;404;2,7;3;2,01
"130083 CAAPIRANGA";51;51;19972,16;15526,43;-;-;4445,73;-;-;391,61;391,61;151;3,0;-;-
"130090 CANUTAMA";66;66;26266,22;19784,60;-;-;6481,62;-;-;397,97;397,97;176;2,7;-;-
"130100 CARAUARI";157;157;63985,56;46078,32;-;-;17907,24;-;-;407,55;407,55;437;2,8;2;1,27
"130110 CAREIRO";278;278;130744,71;89305,85;-;-;41438,86;-;-;470,30;470,30;622;2,2;-;-
"130120 COARI";392;392;197181,84;148387,11;-;-;48794,73;-;-;503,01;503,01;1208;3,1;15;3,83
"130130 CODAJAS";109;109;43480,07;33457,39;-;-;10022,68;-;-;398,90;398,90;275;2,5;4;3,67
"130140 EIRUNEPE";152;152;78861,27;57920,10;-;-;20941,17;-;-;518,82;518,82;544;3,6;5;3,29
"130150 ENVIRA";61;61;29159,09;19903,02;-;-;9256,07;-;-;478,02;478,02;125;2,0;-;-
"130165 GUAJARA";40;40;26490,92;16172,77;5873,48;-;4444,67;-;-;662,27;662,27;124;3,1;-;-
"130180 IPIXUNA";243;243;211323,05;91089,08;55493,86;-;28912,17;35827,94;-;869,64;869,64;541;2,2;3;1,23
"130185 IRANDUBA";71;71;50426,72;27783,94;15921,27;-;6721,51;-;-;710,24;710,24;194;2,7;2;2,82
"130190 ITACOATIARA";426;426;230195,71;163722,39;-;-;66473,32;-;-;540,37;540,37;1720;4,0;8;1,88
"130195 ITAMARATI";89;89;36626,81;26684,96;-;-;9941,85;-;-;411,54;411,54;244;2,7;1;1,12
"130200 ITAPIRANGA";36;36;16510,63;12145,39;-;-;4365,24;-;-;458,63;458,63;86;2,4;-;-
"130210 JAPURA";27;27;8334,31;6515,67;-;-;1818,64;-;-;308,68;308,68;58;2,1;-;-
"130240 LABREA";206;206;103711,62;72294,97;-;-;31416,65;-;-;503,45;503,45;633;3,1;3;1,46
"130250 MANACAPURU";593;593;324721,55;213521,82;18965,95;-;81875,80;10357,98;-;547,59;547,59;1467;2,5;11;1,85
"130255 MANAQUIRI";44;44;17939,27;14422,06;-;-;3517,21;-;-;407,71;407,71;138;3,1;-;-
"130260 MANAUS";11721;11721;19344271,28;15273696,82;253177,58;-;3695910,36;121486,52;-;1650,39;1650,39;76371;6,5;567;4,84
"130270 MANICORE";111;111;55178,92;38060,20;-;-;17118,72;-;-;497,11;497,11;255;2,3;2;1,80
"130290 MAUES";242;242;132357,88;93391,83;-;-;38966,05;-;-;546,93;546,93;709;2,9;8;3,31
"130310 NOVA OLINDA DO NORTE";191;191;129755,16;91956,41;-;-;37798,75;-;-;679,35;679,35;442;2,3;-;-
"130320 NOVO AIRAO";96;96;47477,66;34064,04;-;-;13413,62;-;-;494,56;494,56;193;2,0;2;2,08
"130330 NOVO ARIPUANA";96;96;40833,35;28602,29;-;-;12231,06;-;-;425,35;425,35;267;2,8;2;2,08
"130340 PARINTINS";910;910;460372,75;291666,17;35717,98;-;114700,57;18288,03;-;505,90;505,90;2807;3,1;12;1,32
"130350 PAUINI";128;128;60005,81;43396,34;-;-;16609,47;-;-;468,80;468,80;380;3,0;-;-
"130353 PRESIDENTE FIGUEIREDO";89;89;41810,16;30694,14;-;-;11116,02;-;-;469,78;469,78;279;3,1;-;-
