Per�odo:Jan/2024
"Município";"AIH_aprovadas";"Internações";"Valor_total";"Valor_serviços_hospitalares";"Val_serv_hosp_-_compl_federal";"Val_serv_hosp_-_compl_gestor";"Valor_serviços_profissionais";"Val_serv_prof_-_compl_federal";"Val_serv_prof_-_compl_gestor";"Valor_médio_AIH";"Valor_médio_intern";"Dias_permanência";"Média_permanência";"Óbitos";"Taxa_mortalidade"
"210745 OLINDA NOVA DO MARANHAO";53;53;16433,16;14490,76;-;-;1942,40;-;-;310,06;310,06;107;2,0;-;-
"210750 PACO DO LUMIAR";214;214;139450,54;86570,42;-;-;52880,12;-;-;651,64;651,64;537;2,5;-;-
"210760 PALMEIRANDIA";55;55;24401,62;17681,14;-;-;6720,48;-;-;443,67;443,67;136;2,5;-;-
"210770 PARAIBANO";77;77;24016,59;20386,13;-;-;3630,46;-;-;311,90;311,90;310;4,0;1;1,30
"210780 PARNARAMA";109;109;45758,01;39455,47;-;-;6302,54;-;-;419,80;419,80;462;4,2;2;1,83
"210790 PASSAGEM FRANCA";376;376;152462,54;132065,08;-;-;20397,46;-;-;405,49;405,49;1155;3,1;4;1,06
"210805 PAULINO NEVES";69;69;34225,48;25832,93;-;-;8392,55;-;-;496,02;496,02;203;2,9;-;-
"210810 PAULO RAMOS";192;192;65022,71;55258,65;-;-;9764,06;-;-;338,66;338,66;481;2,5;-;-
"210820 PEDREIRAS";369;369;310553,10;246757,54;-;-;63795,56;-;-;841,61;841,61;1227;3,3;12;3,25
"210825 PEDRO DO ROSARIO";31;31;10521,33;8497,67;-;-;2023,66;-;-;339,40;339,40;92;3,0;-;-
"210830 PENALVA";42;42;18075,59;12191,59;-;-;5884,00;-;-;430,37;430,37;67;1,6;-;-
"210845 PERITORO";249;249;145417,01;117500,06;-;-;27916,95;-;-;584,00;584,00;1377;5,5;4;1,61
"210850 PINDARE-MIRIM";25;25;8457,65;7331,64;-;-;1126,01;-;-;338,31;338,31;75;3,0;-;-
"210860 PINHEIRO";756;756;675416,35;523313,85;-;-;152102,50;-;-;893,41;893,41;3393;4,5;25;3,31
"210870 PIO XII";139;139;54577,02;44897,85;-;-;9679,17;-;-;392,64;392,64;292;2,1;-;-
"210880 PIRAPEMAS";31;31;11152,98;8798,43;-;-;2354,55;-;-;359,77;359,77;71;2,3;1;3,23
"210890 POCAO DE PEDRAS";89;89;28409,48;24139,92;-;-;4269,56;-;-;319,21;319,21;290;3,3;1;1,12
"210900 PORTO FRANCO";219;219;189163,77;151552,02;-;-;37611,75;-;-;863,76;863,76;834;3,8;9;4,11
"210910 PRESIDENTE DUTRA";695;695;879487,84;722075,33;-;-;157412,51;-;-;1265,45;1265,45;4079;5,9;44;6,33
"210920 PRESIDENTE JUSCELINO";18;18;7250,21;5663,79;-;-;1586,42;-;-;402,79;402,79;33;1,8;1;5,56
"210923 PRESIDENTE MEDICI";125;125;34415,78;29761,24;-;-;4654,54;-;-;275,33;275,33;395;3,2;-;-
"210930 PRESIDENTE VARGAS";37;37;13053,63;10677,37;-;-;2376,26;-;-;352,80;352,80;87;2,4;1;2,70
"210940 PRIMEIRA CRUZ";79;79;19213,47;16169,78;-;-;3043,69;-;-;243,21;243,21;395;5,0;-;-
"210945 RAPOSA";31;31;20004,19;17887,12;-;-;2117,07;-;-;645,30;645,30;185;6,0;-;-
"210950 RIACHAO";102;102;37433,22;29613,98;-;-;7819,24;-;-;366,99;366,99;320;3,1;1;0,98
"210960 ROSARIO";250;250;73252,85;61860,29;-;-;11392,56;-;-;293,01;293,01;626;2,5;-;-
"210970 SAMBAIBA";33;33;10864,52;9434,78;-;-;1429,74;-;-;329,23;329,23;138;4,2;-;-
"210980 SANTA HELENA";132;132;47104,35;35691,89;-;-;11412,46;-;-;356,85;356,85;293;2,2;1;0,76
"210990 SANTA INES";1149;1149;1002637,67;779157,19;-;-;223480,48;-;-;872,62;872,62;4979;4,3;48;4,18
"211000 SANTA LUZIA";249;249;120255,16;85226,76;-;-;35028,40;-;-;482,95;482,95;852;3,4;3;1,20
"211003 SANTA LUZIA DO PARUA";275;275;224014,15;169012,09;-;-;55002,06;-;-;814,60;814,60;1132;4,1;16;5,82
"211010 SANTA QUITERIA DO MARANHAO";78;78;27040,63;21407,46;-;-;5633,17;-;-;346,67;346,67;159;2,0;-;-
"211020 SANTA RITA";131;131;55498,30;41149,99;-;-;14348,31;-;-;423,65;423,65;330;2,5;-;-
"211023 SANTANA DO MARANHAO";71;71;27654,49;21249,62;-;-;6404,87;-;-;389,50;389,50;156;2,2;-;-
"211027 SANTO AMARO DO MARANHAO";44;44;14254,70;12212,69;-;-;2042,01;-;-;323,97;323,97;105;2,4;-;-
"211030 SANTO ANTONIO DOS LOPES";60;60;21648,39;18771,79;-;-;2876,60;-;-;360,81;360,81;300;5,0;-;-
"211040 SAO BENEDITO DO RIO PRETO";65;65;26700,44;20229,60;-;-;6470,84;-;-;410,78;410,78;134;2,1;-;-
"211050 SAO BENTO";149;149;57029,53;42092,68;-;-;14936,85;-;-;382,75;382,75;490;3,3;-;-
"211060 SAO BERNARDO";166;166;55060,79;45870,16;-;-;9190,63;-;-;331,69;331,69;467;2,8;1;0,60
"211065 SAO DOMINGOS DO AZEITAO";50;50;18000,84;15770,80;-;-;2230,04;-;-;360,02;360,02;134;2,7;-;-
